id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_hr_payroll_admin_applicant_relative,applicant.relative,prestige_hr_applicant_extended.model_applicant_relative,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_national_service,national.service,prestige_hr_applicant_extended.model_national_service,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_applicant_language,applicant.language,prestige_hr_applicant_extended.model_applicant_language,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_applicant_edu,applicant.edu,prestige_hr_applicant_extended.model_applicant_edu,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_applicant_history,applicant.history,prestige_hr_applicant_extended.model_applicant_history,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_applicant_ref,applicant.ref,prestige_hr_applicant_extended.model_applicant_ref,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_education_level,hr.recruitment.edulevel,prestige_hr_applicant_extended.model_education_level,group_hr_payroll_admin,1,1,1,1

access_hr_payroll_admin_applicant_race,applicant.race,prestige_hr_applicant_extended.model_applicant_race,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_applicant_religion,applicant.religion,prestige_hr_applicant_extended.model_applicant_religion,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_appl_lang,appl.lang,prestige_hr_applicant_extended.model_appl_lang,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_applicant_relationship,applicant.relationship,prestige_hr_applicant_extended.model_applicant_relationship,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_hr_evaluation_report,hr.evaluation.report,hr_evaluation.model_hr_evaluation_report,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_survey_type_1,survey.type,survey.model_survey_type,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_survey,survey.hr.manager,survey.model_survey,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_survey_history,survey.history,survey.model_survey_history,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_survey_question,survey.question,survey.model_survey_question,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_survey_question_column_heading,survey.question.column.heading,survey.model_survey_question_column_heading,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_survey_answer,survey.answer,survey.model_survey_answer,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_survey_response,survey.response,survey.model_survey_response,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_survey_response_line,survey.response.line,survey.model_survey_response_line,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_survey_tbl_column_heading,survey.tbl.column.heading,survey.model_survey_tbl_column_heading,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_survey_response_answer,survey.response.answer,survey.model_survey_response_answer,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_survey_request,survey.request,hr_evaluation.model_survey_request,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_hr_evaluation_evaluation,hr_evaluation.evaluation.user,hr_evaluation.model_hr_evaluation_evaluation,group_hr_payroll_admin,1,0,0,0
access_hr_payroll_admin_employee_immigration,employee.immigration,prestige_hr_holiday_extension.model_employee_immigration,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_res_users_2,res.users,base.model_res_users,group_hr_payroll_admin,1,0,0,0
access_hr_payroll_admin_hr_bank_details,hr.bank.details,prestige_hr_holiday_extension.model_hr_bank_details,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_employee_document,employee.document,prestige_hr_holiday_extension.model_employee_document,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_employee_training,employee.training,prestige_hr_holiday_extension.model_employee_training,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_hr_holiday_public,manager.access.hr_holidays_public,prestige_hr_holiday_extension.model_hr_holiday_public,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_hr_holiday_lines,manager.access.hr_holiday_lines,prestige_hr_holiday_extension.model_hr_holiday_lines,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_employee_id_type,employee.id.type,prestige_hr_holiday_extension.model_employee_id_type,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_employee_city,employee.city,prestige_hr_holiday_extension.model_employee_city,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_res_country,res.country,base.model_res_country,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_res_country_state,res.country.state,base.model_res_country_state,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_resource_resource,hr.employee.resource.manager,resource.model_resource_resource,group_hr_payroll_admin,1,1,1,1
access_hr_ppd_payroll_admin_hr_contract_type,hr.contract.type.manager,hr_contract.model_hr_contract_type,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_hr_contract,hr.contract.manager,hr_contract.model_hr_contract,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_hr_payslip_worked_days,hr.payslip.worked_days,hr_payroll.model_hr_payslip_worked_days,group_hr_payroll_admin,1,1,1,1

access_hr_payroll_admin_hr_rule_input,hr.rule.input,hr_payroll.model_hr_rule_input,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_invoice_tax,account.invoice.tax.hr.manager,account.model_account_invoice_tax,group_hr_payroll_admin,1,1,1,1

access_rights_hr_payroll_admin_hr_employee_category,hr.employee.category.user,hr.model_hr_employee_category,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_employee,hr.employee_user,hr.model_hr_employee,group_hr_payroll_admin,1,0,0,0
access_rights_hr_payroll_admin_resource_resource,resource.resource.user,resource.model_resource_resource,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_department,hr.department.user,hr.model_hr_department,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_job_user,hr.job,hr.model_hr_job,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_ir_property,ir_property.hr_user,base.model_ir_property,group_hr_payroll_admin,1,1,1,0
access_rights_hr_payroll_admin_hr_action_reason,hr.action.reason.user,hr_attendance.model_hr_action_reason,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_attendance,hr.attendance.user,hr_attendance.model_hr_attendance,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_holidays_status,hr.holidays.status,hr_holidays.model_hr_holidays_status,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_holidays_user,hr.holidays.user,hr_holidays.model_hr_holidays,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_holidays_remaining_leaves_user,hr.holidays.ramain.user,hr_holidays.model_hr_holidays_remaining_leaves_user,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_applicant,hr.applicant.user,hr_recruitment.model_hr_applicant,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_recruitment_stage,hr.recruitment.stage.user,hr_recruitment.model_hr_recruitment_stage,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_recruitment_degree,hr.recruitment.degree,hr_recruitment.model_hr_recruitment_degree,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_mail_message,mail.message.user,fetchmail.model_mail_message,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_res_partner_address,res.partner.user,account.model_res_partner,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_res_partner_address_user,res.partner.address.user,base.model_res_partner_address,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_survey_hr_user,survey.hr.user,survey.model_survey,group_hr_payroll_admin,1,1,1,0
access_rights_hr_payroll_admin_crm_phonecall,crm.phonecall,crm.model_crm_phonecall,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_crm_meeting,crm.meeting.hruser,crm.model_crm_meeting,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_recruitment_source,hr.recruitment.source,hr_recruitment.model_hr_recruitment_source,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_evaluation_plan,hr_evaluation.plan.user,hr_evaluation.model_hr_evaluation_plan,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_evaluation_plan_phase,hr_evaluation.plan.phase.user,hr_evaluation.model_hr_evaluation_plan_phase,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_survey_answer,survey.answer.hr.user,survey.model_survey_answer,group_hr_payroll_admin,1,1,1,0
access_rights_hr_payroll_admin_survey_response_answer,survey.response.answer.hr.user,survey.model_survey_response_answer,group_hr_payroll_admin,1,1,1,0
access_rights_hr_payroll_admin_survey_type_1,survey.type.hr.user,survey.model_survey_type,group_hr_payroll_admin,1,1,1,0
access_rights_hr_payroll_admin_survey_question_1,survey.question.hr.user,survey.model_survey_question,group_hr_payroll_admin,1,1,1,0
access_rights_hr_payroll_admin_survey_page,survey.page.hr.user,survey.model_survey_page,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_survey_response,survey.response.hr.user,survey.model_survey_response,group_hr_payroll_admin,1,1,1,0
access_rights_hr_payroll_admin_survey_history,survey.history.hr.user,survey.model_survey_history,group_hr_payroll_admin,1,1,1,0
access_rights_hr_payroll_admin_survey_request,survey.request.hr.user,hr_evaluation.model_survey_request,group_hr_payroll_admin,1,1,1,0
access_rights_hr_payroll_admin_survey_question_column_heading_1,survey.question.column.heading.hr.user,survey.model_survey_question_column_heading,group_hr_payroll_admin,1,0,0,0
access_rights_hr_payroll_admin_survey_response_line,survey.response.line.hr.user,survey.model_survey_response_line,group_hr_payroll_admin,1,1,1,0
access_rights_hr_payroll_admin_survey_tbl_column_heading,survey.tbl.column.heading.hr.user,survey.model_survey_tbl_column_heading,group_hr_payroll_admin,1,1,1,0
access_rights_hr_payroll_admin_employee_history,employee.history,prestige_hr_holiday_extension.model_employee_history,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_employee_news,employee.news,prestige_hr_holiday_extension.model_employee_news,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_resource_calendar_leaves,hr.employee.resource.calendar.user,resource.model_resource_calendar,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_payroll_structure,hr.payroll.structure,hr_payroll.model_hr_payroll_structure,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_contribution_register,hr.contribution.register,hr_payroll.model_hr_contribution_register,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_salary_rule_category,hr.salary.rule.category,hr_payroll.model_hr_salary_rule_category,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_payslip,hr.payslip,hr_payroll.model_hr_payslip,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_payslip_line,hr.payslip.line,hr_payroll.model_hr_payslip_line,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_payslip_input,hr.payslip.input.user,hr_payroll.model_hr_payslip_input,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_hr_salary_rule,hr.salary.rule.user,hr_payroll.model_hr_salary_rule,group_hr_payroll_admin,1,0,0,0
access_rights_hr_payroll_admin_account_analytic_line_to_invoice,account.account.analytic.line,account.model_account_analytic_line,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_account_analytic_line_to_invoice,account.account.analytic.journal,account.model_account_analytic_journal,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_product_product,product.product,product.model_product_product,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_account_fiscalyear,account.account.fiscalyear.user,account.model_account_fiscalyear,group_hr_payroll_admin,1,1,1,1
access_rights_hr_payroll_admin_account_journal_view,account.journal.view,account.model_account_journal_view,group_hr_payroll_admin,1,0,0,0
access_rights_hr_payroll_admin_account_journal_column,account.journal.column,account.model_account_journal_column,group_hr_payroll_admin,1,0,0,0
access_rights_hr_payroll_admin_account_invoice,account.invoice.hr.user,account.model_account_invoice,group_hr_payroll_admin,1,1,1,1
hr_payroll.access_hr_salary_rule_user,hr.salary.rule.user,model_hr_salary_rule,group_hr_payroll_admin,1,0,0,0
access_rights_salary_report_for_exchequer_glcode,salary.report.for.exchequer.glcode,model_salary_report_for_exchequer_glcode,base.group_user,1,1,1,1
access_rights_hr_salary_rule_glcode,hr_salary_rule_glcode,model_hr_salary_rule_glcode,base.group_user,1,1,1,1
access_rights_hr_salary_rule_glcode,hr_salary_rule_glcode,model_hr_salary_rule_glcode,group_hr_payroll_admin,1,1,1,1
access_rights_admin_employee_country,employee_country,model_employee_country,group_hr_payroll_admin,1,1,1,1
access_rights_admin_employee_nationality,employee_nationality,model_employee_nationality,group_hr_payroll_admin,1,1,1,1
access_rights_manager_employee_country,employee_country,model_employee_country,base.group_hr_manager,1,1,1,1
access_rights_manager_employee_nationality,employee_nationality,model_employee_nationality,base.group_hr_manager,1,1,1,1
access_rights_emp_employee_country,employee_country,model_employee_country,base.group_user,1,0,0,0
access_rights_emp_employee_nationality,employee_nationality,model_employee_nationality,base.group_user,1,0,0,0
access_rights_admin_hr_contract_income_tax,hr_contract_income_tax,model_hr_contract_income_tax,group_hr_payroll_admin,1,1,1,1
access_rights_manager_hr_contract_income_tax,hr_contract_income_tax,model_hr_contract_income_tax,base.group_hr_manager,1,1,1,1
access_rights_emp_hr_contract_income_tax,hr_contract_income_tax,model_hr_contract_income_tax,base.group_user,1,0,0,0
access_rights_admin_emp_ir8s_text_file,emp_ir8s_text_file,model_emp_ir8s_text_file,group_hr_payroll_admin,1,1,1,1
access_rights_admin_emp_ir8a_text_file,emp_ir8a_text_file,model_emp_ir8a_text_file,group_hr_payroll_admin,1,1,1,1
